is_canceled,deposit_type,previous_cancellations,lead_time,total_of_special_requests,different_room_assigned,market_segment,required_car_parking_spaces,distribution_channel,hotel,customer_type,previous_bookings_not_canceled,is_repeated_guest,country_PRT,country_other,treatment_control,accept_offer,new_lead_time
0,No Deposit,0,289,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,289
0,Non Refund,1,327,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,treatment,1,73
0,No Deposit,0,445,1,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,67
1,Non Refund,0,277,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,1,55
1,Non Refund,0,350,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,350
1,Non Refund,1,304,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,304
1,No Deposit,1,265,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,0,265
0,No Deposit,0,542,0,1,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,542
1,Non Refund,0,405,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,405
0,No Deposit,0,189,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,189
1,Non Refund,0,447,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,447
1,Non Refund,0,468,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,468
0,No Deposit,0,386,0,0,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,386
0,No Deposit,0,215,1,1,Groups,0,Corporate,City Hotel,Transient,0,0,0,1,treatment,1,68
0,No Deposit,0,364,0,0,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,0,1,control,0,364
0,Non Refund,0,443,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,1,73
1,Non Refund,1,241,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,241
0,No Deposit,0,336,0,1,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,65
0,No Deposit,0,241,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,241
1,Non Refund,1,247,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,0,1,control,0,247
1,No Deposit,1,468,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,control,0,468
1,Non Refund,1,332,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,0,332
1,Non Refund,1,395,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,395
1,Non Refund,1,311,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,311
1,No Deposit,0,292,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,control,0,292
0,No Deposit,0,383,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,73
1,Non Refund,0,302,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,302
0,No Deposit,0,257,0,0,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,65
1,Non Refund,0,629,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,629
1,Non Refund,1,259,0,0,Groups,0,Corporate,Resort Hotel,Transient,0,0,0,1,control,0,259
1,Non Refund,0,183,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,1,0,treatment,0,183
0,No Deposit,0,195,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,195
1,Non Refund,0,405,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,405
1,Non Refund,0,457,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,457
1,Non Refund,1,359,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,359
0,No Deposit,0,236,0,1,Groups,0,Direct,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,236
1,Non Refund,0,337,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,337
0,No Deposit,0,386,0,1,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,0,1,treatment,1,61
1,Non Refund,1,311,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,0,311
1,Non Refund,0,201,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,1,0,control,0,201
1,Non Refund,1,299,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,treatment,0,299
1,Non Refund,0,437,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,437
1,Non Refund,0,267,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,267
1,Non Refund,0,251,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,251
1,Non Refund,0,286,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,286
0,No Deposit,0,213,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,213
0,No Deposit,0,244,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,244
0,Refundable,0,385,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,treatment,1,53
1,Non Refund,0,450,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,450
0,No Deposit,0,364,1,0,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,0,1,control,0,364
1,Non Refund,0,181,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,181
1,Non Refund,1,259,0,0,Groups,0,Corporate,Resort Hotel,Transient,0,0,0,1,control,0,259
1,Non Refund,0,183,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,1,0,treatment,0,183
1,Non Refund,0,232,0,0,Groups,0,TA/TO,Resort Hotel,Transient,0,0,1,0,control,0,232
1,No Deposit,1,337,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,337
0,No Deposit,0,202,1,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,202
0,No Deposit,0,318,0,0,Groups,0,Direct,Resort Hotel,Transient,0,0,0,1,treatment,1,64
1,No Deposit,0,239,0,0,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,1,0,control,0,239
1,Non Refund,1,276,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,276
1,Non Refund,1,344,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,344
1,No Deposit,0,286,0,0,Groups,0,TA/TO,City Hotel,Transient-Party,0,0,1,0,control,0,286
1,Non Refund,0,186,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,186
0,Non Refund,0,277,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,1,66
1,Non Refund,1,300,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,1,73
1,No Deposit,0,383,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,1,0,treatment,0,383
1,Non Refund,0,240,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,240
1,Non Refund,0,215,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,215
1,Non Refund,0,350,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,350
1,Non Refund,1,339,0,0,Groups,0,TA/TO,City Hotel,Contract,0,0,1,0,treatment,0,339
1,Non Refund,0,475,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,475
0,No Deposit,0,203,0,0,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,control,0,203
1,Non Refund,1,342,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,342
0,No Deposit,0,225,0,1,Groups,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,225
1,Non Refund,0,433,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,433
1,Non Refund,0,391,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,control,0,391
1,Non Refund,0,201,0,0,Groups,0,TA/TO,City Hotel,Transient,0,0,1,0,treatment,0,201
0,No Deposit,0,386,0,0,Groups,0,Corporate,Resort Hotel,Transient-Party,0,0,0,1,treatment,0,386
