is_canceled,deposit_type,previous_cancellations,lead_time,total_of_special_requests,different_room_assigned,market_segment,required_car_parking_spaces,distribution_channel,hotel,customer_type,previous_bookings_not_canceled,is_repeated_guest,country_PRT,country_other
0,No Deposit,0,342,0,0,Direct,0,Direct,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,737,0,0,Direct,0,Direct,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,7,0,1,Direct,0,Direct,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,13,0,0,Corporate,0,Corporate,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,14,1,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,14,1,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,0,0,0,Direct,0,Direct,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,9,1,0,Direct,0,Direct,Resort Hotel,Transient,0,0,1,0
1,No Deposit,0,85,1,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
1,No Deposit,0,75,0,0,Offline TA/TO,0,TA/TO,Resort Hotel,Transient,0,0,1,0
1,No Deposit,0,23,0,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,35,0,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,68,3,1,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,18,1,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,37,0,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,68,3,1,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,37,0,0,Offline TA/TO,0,TA/TO,Resort Hotel,Contract,0,0,1,0
0,No Deposit,0,12,0,1,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,0,0,1,Corporate,0,Corporate,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,7,1,0,Direct,0,Direct,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,37,1,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,72,1,0,Direct,0,Direct,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,72,1,0,Direct,0,Direct,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,72,1,0,Direct,0,Direct,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,127,1,1,Offline TA/TO,0,TA/TO,Resort Hotel,Contract,0,0,0,1
0,No Deposit,0,78,0,0,Offline TA/TO,1,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,48,0,0,Offline TA/TO,0,TA/TO,Resort Hotel,Contract,0,0,0,1
1,No Deposit,0,60,2,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,77,0,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,99,1,0,Online TA,1,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,118,2,0,Direct,0,Direct,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,95,0,0,Offline TA/TO,0,TA/TO,Resort Hotel,Transient,0,0,0,1
1,No Deposit,0,96,2,0,Direct,0,Direct,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,69,0,1,Offline TA/TO,0,TA/TO,Resort Hotel,Transient,0,0,0,1
1,No Deposit,0,45,1,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
1,No Deposit,0,40,1,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,15,0,1,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,36,1,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
1,No Deposit,0,43,0,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,70,1,0,Direct,0,Direct,Resort Hotel,Transient,0,0,0,1
1,No Deposit,0,45,0,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,45,0,0,Offline TA/TO,0,TA/TO,Resort Hotel,Contract,0,0,0,1
0,No Deposit,0,16,0,0,Direct,0,Direct,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,70,1,0,Direct,0,Direct,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,107,2,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
1,No Deposit,0,47,0,0,Online TA,0,TA/TO,Resort Hotel,Transient,0,0,1,0
0,No Deposit,0,96,1,0,Offline TA/TO,0,TA/TO,Resort Hotel,Transient,0,0,0,1
0,No Deposit,0,113,2,0,Offline TA/TO,0,TA/TO,Resort Hotel,Transient-Party,0,0,0,1
0,No Deposit,0,90,0,1,Offline TA/TO,0,TA/TO,Resort Hotel,Contract,0,0,0,1
